author,position,company
 Jat Sahi ," Digital Lead Retail & Hospitality EMEIA, ",Fujitsu
 Jeroen Vanderhaeghen ," Senior Consultant, Retail , ",Reply
 Jesse Collins ," Retail Analyst, ",Edge by Ascential
 Jo Hickson ," Head of Labs, ",Tesco
 Joe Jensen ," VP General Manager, ",Intel
 Joe Till ," National Sales Manager, ",Sorted 
 John Atcheson ," Co-Founder/CEO, ",Stuffstr
 John Auckland ," Founder , ",TribeFirst
 Jon Buss ," Managing director, ",Yext
 Jonathan Petrides ," Founder, ",allplants
 Josh Bottomley ," Global Head of Digital, Data & Development, ",HSBC
 Josh Builder ," CTO & Head of Product, ",Rent The Runway
 Josh Scotton ," Co-Founder & COO, ",Personify
 Julian Burnett ," VP, Global Markets – Distribution, ",IBM Services - IBM
 Karina Pyne ," Marketing Acceleration Director, ",GSK 
 Karolina Lewandowska ," Head of Change, Transformation and Culture, ",Google Cloud
 Kathleen Gambarelli ," Global Product Strategist, ",Snapchat
 Kellam Mattie ," CMO Venturing & Emerging Brands, VP Marketing & Innovation , ",Coca-Cola
 Keng Ng ," Digital Commerce Director, ",Mars
 Kostas Koukoravas ," Founder & CEO, ",Intelistyle
 Lara Lewington , Presenter & Technology Journalist ,
 Lisa Byfield-Green ," head of insight, ",Retail Week
 Liz Bacelar , Presenter ,
 Louisa Nicholls ," Senior Manager, Trade Marketing & Digital Trading, ",John Lewis
 Lucas Johnston ," Founder, ",Umber
 Madeleine Melin ," E-Commerce Marketing Manager, Europe, ",Electrolux Europe
 Marcela Sapone ," CEO, ",Hello Alfred
 Mark Slade ," CEO, ",Location Sciences
 Markus Zimmermann ," Head of Interaction Design, ",Starship Technologies
 Marta Skassa ," Product Manager, ",Zalando
 Masahiro Hisayama ," Head of Innovation Centre Europe, ",Panasonic
 Matthew Furneaux ," Global Commercial Director, ",Loqate - a GBG Solution
 May Al-Karooni ," CEO, ",Globechain
 Megan Dunsby ," Commercial Content Editor , ",Retail Week
 Mehdi Fehri ," Group Head of Data Strategy & Data science, ",L'Oreal
 Melissa Chapman ," Chief Content Officer, ",Jungle Creations
 Michael Feindt ," Founder & Chief Scientist , ","Blue Yonder, a JDA company"
 Michael Green ," senior area vice president, ",Salesforce
 Michael Levin ," Chief Data Scientist, ",Yandex Market
 Mike Green ," Senior Area Vice President, ",Salesforce
 Mike Hines ," Developer Evangelist, ",Amazon 
 Miriam Lahage ," Former CEO, ",Figleaves
 Nancy Cruikshank ," SVP Digital Business Transformation, ",Carlsberg
 Nandus Du Plessis ," Director at ABI and Global Head of Content Excellence, ",ABI
 Nick Everitt ," Director of Advisory, ",Edge by Ascential
 Nihan Sahan Eren ," Head of Refreshment Consumer and Market Insight, ",Unilever
 Nina Shariati , Transparency & Sustainability Expert ,
 Nivindya Sharma ," Director of Retail Strategy and Insight, ",WGSN Analytics
 Parag Parekh ," vice president of global sales, ",adidas Group
 Paul Hemmingsley ," Manager, ",Reply
 Paul Markham ,,Red Bee Media
 Paul Martin ," IT Director, ",Footasylum 
 Phil Thompson ," Worldwide Tech Leader, ",AWS
 Poppie Mickleburgh ," Event Director, ",Tech.
 Red McKay ," European MD, ",Bossa Nova Robotics (UK)
 Rhonda Textor ," Head of Data Science, ",True Fit 
 Richard Meeus ," Security Technology & Strategy Director, ",Akamai
 Richard Zubrik ," CTO, ",Not On The High Street
 Robert Gregory ," Director of Advisory, ",Edge by Ascential
 Robin H. Smith ," CEO& Co-Founder, ",VL OMNI
 Roland Palmer ," Head of Europe, ",Alipay
 Ronan Bardet ," Founder & CEO, ",EGI
 Ronny Mikalsen ," CEO, ",Carlings
 Sally Minto ," Digital Director, ",Revolution Beauty 
 Sam Stamp ," COO, ",Freeformers 
 Samantha Hornsby ," Head of Food Online, ",Marks & Spencers
 Sandeep Verma ," MD, Europe , ",Allbirds
 Sara Wood ," EVP, Product, ",Farfetch
 Scott Crawford ," Head of Enable the Science , ",84.51/Kroger
 Sean McKee ," Director of Ecommerce and Customer Experience, ",Schuh
 Shelley Bransten ," Corporate Vice President, Retail & CPG, ",Microsoft
 Simon Dean ," VP of Brand, ",DNA Fit
 Simon Hall ," Head of Industry, Retail, ",Google Cloud
 Sophia Matveeva ," Founder & CEO, ",Enty
 Sophie Leang ," Head of Marketing and Communications, ",Shepper
 Steve Lidbury ," Principal, ",Eight Inc. 
 Stuart Ramage ," Ecommerce Director, ",Dixons Carphone
 Sunir Gohil ," Clinical Artificial Intelligence Lead, ",Babylon Health
 Susan Lin ," Principal, ",Felix Capital 
 Tambo Silavwe ," Senior Digital Coach, ",Freeformers
 Tatiana Lopes ," Head of Supply Chain Products, ",Farfetch
 Tatiana Ohnyeva ," Strategy Director, ",Fashion Concierge (Farfetch)
 Ted Charalambides ," Head of Commerce, ",Pact
 Ted Harrison ," Head of Content Optimisation, ",Twitter
 Tina Daheley , Presenter & Journalist ,
 Tom Hipwell ,,Bulb
 Tomi Siren ," Head of Digital, ",Arla
 Weldon Whitener ," Chief Analytics Officer, ",Pricesearcher 
 Whitney Myrus ," Start-up & Growth Strategist, ",ITICO F+B Limited
 Xian Wang ," Global Content Director, ",Edge by Ascential
 Yael Kochman ," Partner & CEO, ",Re:Tech
 Yeming Wang ," General Manager, EMEA , ",Alibaba Cloud
 Yulia O’Mahony ," Head of Diversity, Inclusion and Wellbeing, ",John Lewis
 Zak Normandin ," Founder & CEO, ",iris nova
